RegionID,RegionName,RegionType,StateName,10/31/2020,11/30/2020,12/31/2020,1/31/2021
394913,New York,Msa,NY,458473,465924,471278,474428
753899,Los Angeles-Long Beach-Anaheim,Msa,CA,723430,728134,731833,735152
394463,Chicago,Msa,IL,263722,265148,266958,268158
394514,Dallas-Fort Worth,Msa,TX,297554,300189,301594,303396
394974,Philadelphia,Msa,PA,272903,275404,276132,277917
394692,Houston,Msa,TX,263507,265532,266784,268203
395209,Washington,Msa,DC,452486,453317,451771,453572
394856,Miami-Fort Lauderdale,Msa,FL,327448,329415,331497,336909
394347,Atlanta,Msa,GA,282467,284450,286670,288802
394404,Boston,Msa,MA,516688,521655,523468,526173
395057,San Francisco,Msa,CA,887325,892735,897494,910688
394532,Detroit,Msa,MI,209454,211741,214429,217439
395025,Riverside,Msa,CA,422420,426981,431071,435795
394976,Phoenix,Msa,AZ,326500,330333,332942,336766
395078,Seattle,Msa,WA,558662,564431,563128,567701
394865,Minneapolis-St Paul,Msa,MN,308778,310166,311930,314261
395056,San Diego,Msa,CA,642926,646466,650307,652484
395121,St. Louis,Msa,MO,210146,211514,211400,211866
395148,Tampa,Msa,FL,260267,262779,264139,266465
394358,Baltimore,Msa,MD,312880,314666,314255,317252
394530,Denver,Msa,CO,459632,463941,466811,469015
394982,Pittsburgh,Msa,PA,189757,191445,191618,194379
394998,Portland,Msa,OR,439290,441352,444044,447169
394458,Charlotte,Msa,NC,286296,288582,288842,291020
395045,Sacramento,Msa,CA,470748,474281,476960,482582
395055,San Antonio,Msa,TX,252943,255724,257564,260144
394943,Orlando,Msa,FL,281342,283630,284905,286790
394466,Cincinnati,Msa,OH,208069,209797,211142,213050
394475,Cleveland,Msa,OH,171225,173136,175082,174869
394735,Kansas City,Msa,MO,254042,256147,255668,256056
394775,Las Vegas,Msa,NV,312273,314610,317489,320171
394492,Columbus,Msa,OH,233720,235649,237293,239684
394705,Indianapolis,Msa,IN,221756,224903,224817,227343
395059,San Jose,Msa,CA,1162637,1170433,1181276,1201689
394355,Austin,Msa,TX,359086,366807,371789,377774
395194,Virginia Beach,Msa,VA,271110,274235,276125,277034
394902,Nashville,Msa,TN,318967,320724,321808,322936
395005,Providence,Msa,RI,324072,325960,329201,331354
394862,Milwaukee,Msa,WI,218424,218603,221206,221149
394714,Jacksonville,Msa,FL,267486,270776,272688,274177
394849,Memphis,Msa,TN,214981,217751,219122,219441
394935,Oklahoma City,Msa,OK,205297,205955,207312,208185
394807,Louisville-Jefferson County,Msa,KY,211718,214530,213882,215466
394669,Hartford,Msa,CT,253365,255901,257454,259204
395022,Richmond,Msa,VA,280767,283748,284986,286764
394910,New Orleans,Msa,LA,227439,229989,230575,231808
394425,Buffalo,Msa,NY,183008,184841,186680,188022
395012,Raleigh,Msa,NC,313895,315548,316958,318662
394388,Birmingham,Msa,AL,228001,230966,230117,232593
395053,Salt Lake City,Msa,UT,381577,385282,391495,396234
395031,Rochester,Msa,NY,171787,173742,175674,175460
394640,Grand Rapids,Msa,MI,232427,236213,237368,239016
395167,Tucson,Msa,AZ,253245,256677,258296,262320
753924,Urban Honolulu,Msa,HI,627081,632142,638210,647617
395169,Tulsa,Msa,OK,200853,202659,203187,204202
394619,Fresno,Msa,CA,310196,312665,314924,316659
395238,Worcester,Msa,MA,313721,317602,320264,322776
394415,Stamford,Msa,CT,484307,489056,494158,489986
394312,Albuquerque,Msa,NM,247139,249554,251419,253529
394308,Albany,Msa,NY,217706,219749,222103,220318
394938,Omaha,Msa,NE,222139,225685,228151,231035
394908,New Haven,Msa,CT,250521,256329,257478,260817
394357,Bakersfield,Msa,CA,270975,274630,278100,284010
394753,Knoxville,Msa,TN,233057,234375,235597,237910
394653,Greenville,Msa,SC,233803,237275,240016,243371
394952,Ventura,Msa,CA,661313,670762,676659,686692
394318,Allentown,Msa,PA,224449,229610,233083,237630
394561,El Paso,Msa,TX,180442,180672,181319,183156
394367,Baton Rouge,Msa,LA,221360,221969,222423,222274
394521,Dayton,Msa,OH,160642,161459,164094,166144
394843,McAllen,Msa,TX,171930,174407,175923,178991
394486,Columbia,Msa,SC,202527,203018,203021,205550
394648,Greensboro,Msa,NC,185764,186085,188290,191175
394304,Akron,Msa,OH,167872,168629,166081,164667
753906,North Port-Sarasota-Bradenton,Msa,FL,303284,306540,311050,313297
394798,Little Rock,Msa,AR,185940,186407,187806,187829
395134,Stockton,Msa,CA,431878,435341,433893,431972
394457,Charleston,Msa,SC,309486,314196,318944,318468
395143,Syracuse,Msa,NY,163074,163147,162895,163574
394484,Colorado Springs,Msa,CO,373971,378670,382678,386535
395235,Winston-Salem,Msa,NC,197636,198437,198430,200195
395224,Wichita,Msa,KS,174991,174936,176061,178621
395115,Springfield,Msa,MA,242770,243807,244752,248026
394440,Fort Myers,Msa,FL,255571,258113,260585,263685
394399,Boise City,Msa,ID,367988,374538,383554,390034
395160,Toledo,Msa,OH,138899,140946,144995,147259
394816,Madison,Msa,WI,297933,300056,301986,303986
394766,Lakeland,Msa,FL,224984,227066,229737,231848
394931,Ogden,Msa,UT,335844,340019,342250,348786
394528,Daytona Beach,Msa,FL,244360,246062,248788,250957
394531,Des Moines,Msa,IA,232659,234345,237042,239651
394711,Jackson,Msa,MS,216102,220986,222728,225280
394352,Augusta,Msa,GA,206046,209840,209743,211054
394666,Harrisburg,Msa,PA,202294,204963,204466,204926
395006,Provo,Msa,UT,367364,371512,377067,383285
394602,Fort Collins,Msa,CO,422230,423042,422110,421936
394602,Fort Collins,Msa,CO,422230,423042,422110,421936
